,System,Simp_text
0,Hybrid,"One side and is composed a Sudanese militia group recruited from the Abbala tribes of Rizeigat Sudan in the region.
"
1,Hybrid,"Jeddah is the gateway to Mecca, Islam's city, which Muslims are required to visit.
"
2,Hybrid,"The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.
"
3,Hybrid,"His next work, Saturday follows, an day.
"
4,Hybrid,"The tarantula, the trickster character, a black spun cord, and it attaching, crawled, pulling all.
"
5,Hybrid,"There, he died.
"
6,Hybrid,"They are.
"
7,Hybrid,", the recipient has been presented.
"
8,Hybrid,"Dancers, play the sogo (a drum that no and to --.
"
9,Hybrid,"The spacecraft consists of two elements the NASA Cassini, named after the astronomer Italian-French Giovanni Domenico Cassini, and the ESA Huygens probe, named, mathematician and physicist Christiaan Huygens.
"
10,Hybrid,"Alessandro (""Sandro"") Mazzola (born 8 1942 November) is an football player.
"
11,Hybrid,"It was originally thought that the debris thrown up by the collision filled in the smaller craters.
"
12,Hybrid,"Graham Wheaton attended college, he graduated in anthropology.
"
13,Hybrid,", the BZÖ differs a bit in comparison is in favor, but an EU-Withdrawal.
"
14,Hybrid,"Species had vanished,.
"
15,Hybrid,"Wexler and was inducted in 1987.
"
16,Hybrid,", dextromethorphan occurs.
"
17,Hybrid,"Admission is.
"
18,Hybrid,"Today NRC is organised,.
"
19,Hybrid,"It is situated, it encloses the city of Stralsund.
"
20,Hybrid,"1982 he was named ""Sportsman.""
"
21,Hybrid,"Fives is a sport believed to derive.
"
22,Hybrid,"Bhumibol king, was born, Thailand will be decorated.
"
23,Hybrid,"Both names became in 2007 they were merged.
"
24,Hybrid,", Tagore emulated styles,, and.
"
25,Hybrid,", presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps.
"
26,Hybrid,"She performed the White House series, which aired.
"
27,Hybrid,"Perry Saturn (defeated Eddie Guerrero (the WWF European Championship (8:10) Saturn pinned Guerrero.
"
28,Hybrid,"She remained she and her husband returned.
"
29,Hybrid,"Despina was discovered, 1989 from the images taken.
"
30,Hybrid,"The Grand Prix motor racing championship took place.
"
31,Hybrid,"He completed the two collections of stories entitled Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.
"
32,Hybrid,"Images Ophelia appears, the axis pointing towards Uranus.
"
33,Hybrid,"The British decided to eliminate the land and take him.
"
34,Hybrid,"Towns, some do, follow Western time.
"
35,Hybrid,"Pieces and have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.
"
36,Hybrid,"The cities include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.
"
37,Hybrid,"Fearing that Drek will destroy the galaxy, Clank asks Ratchet to help him find the superhero Captain Qwark, in an effort to stop Drek.
"
38,Hybrid,"It is a louse.
"
39,Hybrid,"He advocates applying a user-centered design process and works towards popularizing interaction design.
"
40,Hybrid,"It is that the editors who may have reported you, and the administrator who you are blocked, part of a conspiracy against someone they've met in person.
"
41,Hybrid,"Working Group I: assesses aspects of the climate system and climate change.
"
42,Hybrid,"The island chain forms part, and separated, and.
"
43,Hybrid,"Orton and his wife welcomed Alanna Marie Orton.
"
44,Hybrid,"Planet designations are combinations overseen, a branch.
"
45,Hybrid,", wind shear began and began to a weakening trend.
"
46,Hybrid,"Each entry has a datum a copy.
"
47,Hybrid,", mosques will enforce violations, both men and women when attending a mosque must adhere.
"
48,Hybrid,"Mariel of Redwall is a fantasy novel by Brian Jacques, published in 1991.
"
49,Hybrid,"Ryan Prosser (born 10 July Ryan Prosser (born 10 July is a rugby union player.
"
50,Hybrid,"Reports, it consists, three of them.
"
51,Hybrid,"Their granddaughter Hélène Langevin-Joliot is a professor of physics, and their grandson Pierre Joliot, who was named, is a biochemist.
"
52,Hybrid,"This stamp remained the letter stamp quantities, and were printed.
"
53,Hybrid,"International fight the league was an martial arts promotion MMA) billed.
"
54,Hybrid,"Giardia lamblia (synonymous with Lamblia intestinalis and Giardia duodenalis) is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.
"
55,Hybrid,"Aside from this, Cameron has often worked in Christian-themed productions, among them the post-Rapture films Left Behind: the Movie, Left Behind II: Tribulation Force, and Left Behind: at World War, in which he plays Cameron ""Buck"" Williams.
"
56,Hybrid,"This was the area east of the mouth of the river Vistula, called ""Prussia"".
"
57,Hybrid,"He returned to Yerevan to teach and he was appointed director.
"
58,Hybrid,"The story of Christmas is based on the accounts, given - and, -.
"
59,Hybrid,"Weelkes was to find himself in trouble Chichester authorities and the cathedral.
"
60,Hybrid,"So far the'celebrity' episodes have included Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Mark, Chapman Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O'Grady and Lee Ryan.
"
61,Hybrid,"It was discovered the Voyager 1 space probe taken.
"
62,Hybrid,"Gomaespuma was a radio show, hosted and.
"
63,Hybrid,", the release date was announced.
"
64,Hybrid,"He is a member of boyband another Jungiery 183 Club.
"
65,Hybrid,"The Apostolic Tradition, attributed attests, the singing.
"
66,Hybrid,"In return Rollo swore, and undertook to defend the region of France., Charles, converted
"
67,Hybrid,"It is derived from Voice of America (VoA) Special English.
"
68,Hybrid,"Disney received a Oscar statuette and seven ones, presented.
"
69,Hybrid,"It was the asteroid to be discovered.
"
0,SBMT-SARI,"One side of the armed conflict is made up mainly of the Sudanese Army and the Janjaweed, a Sudanese militia group hired for most of the Afro-Arab Abbala tribes of the North Rizeigat region in Sudan.
"
1,SBMT-SARI,"Jeddah is the main gateway to Mecca, Islam's holiest city, which sound Muslims need to visit at least once in his life.
"
2,SBMT-SARI,"The Great Dark Spot is thought to make up a hole in the methane cloud deck of Neptune.
"
3,SBMT-SARI,"His next work, Saturday, is the result of a very eventful day in the life of a good neurosurgeon.
"
4,SBMT-SARI,"The tarantula, the trickster nature, spun a black wire and, attach it to the ball, crawled away fast to the east, pulling on the lead with all his force.
"
5,SBMT-SARI,"There he died six weeks later, on 13 January 888.
"
6,SBMT-SARI,"They are culturally close to the coastal people of Papua New Guinea.
"
7,SBMT-SARI,"Since 2000, the host of the Kate Greenaway Medal has also been made with the Colin Mears price to the value of £5000.
"
8,SBMT-SARI,"As a result of the drums are dancers, who often play the sogo (a small drum that's almost no sound) and tend to have more complex - even acrobatic - dance.
"
9,SBMT-SARI,"The ship is made up of two main parts: the NASA Cassini probe, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA's Huygens probe, named after the Dutch astronomer, math and physics Christiaan Huygens.
"
10,SBMT-SARI,"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.
"
11,SBMT-SARI,"It was first thought that the debris thrown up by the crash filled in the smaller craters.
"
12,SBMT-SARI,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.
"
13,SBMT-SARI,"However, the BZÖ differs a little bit in respect to the Freedom Party, as is in favour of a poll about the Lisbon Treaty but from an EU-Withdrawal.
"
14,SBMT-SARI,"Many species had gone by the end of the 19th century, with the rules.
"
15,SBMT-SARI,"In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.
"
16,SBMT-SARI,"In its pure form, dextromethorphan takes place as a white powder.
"
17,SBMT-SARI,"Admission to Tsinghua is very competitive.
"
18,SBMT-SARI,"Today NRC is held as an independent, private foundation.
"
19,SBMT-SARI,"It is located on the coast of the Baltic Sea, where it surrounds the town of Stralsund.
"
20,SBMT-SARI,"He was also named 1982 ""Sportsman of the year"" by sports to be seen.
"
21,SBMT-SARI,"Fives is a British sport thought to come from the same source as many racquet sports.
"
22,SBMT-SARI,"For example, King Bhumibol was born on Monday, so on his birthday in Thailand will be decorated with yellow color.
"
23,SBMT-SARI,"Both names became defunct in 2007 when they were merged into the National Museum of Scotland.
"
24,SBMT-SARI,"However, Tagore emulated many styles, such as craftwork in North New Ireland, Haida prints from the west coast of Canada (British Columbia), and woodcuts by Max Pechstein.
"
